"Table with row headers in column A, and column headers in rows 7 through 10.  Leading dots indicate subparts.",,,,,,,,,,,,,,,,,,,,,,,
"MS-1.  Marital Status of the Population 15 Years Old and Over by Sex, Race and Hispanic Origin:  1950 to Present",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"For more information about ASEC, including the source and accuracy statement, see the technical documentation accessible at: https://www.census.gov/programs-surveys/cps/technical-documentation/complete.html",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,,,,,,,,
,,,,   Unmarried,,,,,,,,   Unmarried,,,,,,,,,,,
,,,,,Never ,,,,,,,,Never ,,,,,,,,,,
Year,Total,Married1,,Total,married,Widowed,Divorced,,Total,Married1,,Total,married,Widowed,Divorced,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.All races,,,,,,,,,,,,,,,,,,,,,,,
..2018a,"100,049","55,954",,"44,095","32,216","2,785","9,094",,"103,621","55,600",,"48,021","26,933","9,362","11,726",,,,,,,,
..2018b,"102,268","56,716",,"45,553","33,446","2,822","9,285",,"106,008","56,535",,"49,472","28,067","9,463","11,942",,,,,,,,
..2017a,"99,089","55,712",,"43,378","31,755","2,745","8,878",,"102,950","55,525",,"47,425","26,465","9,390","11,570",,,,,,,,
..2017b,"101,201","56,447",,"44,754","32,932","2,773","9,049",,"105,190","56,315",,"48,875","27,581","9,474","11,820",,,,,,,,
..2016a,"98,857","55,214",,"43,642","31,998","2,879","8,765",,"102,625","55,076",,"47,549","26,549","9,274","11,726",,,,,,,,
..2016b,"100,828","55,872",,"44,957","33,095","2,916","8,946",,"104,752","55,834",,"48,918","27,590","9,375","11,953",,,,,,,,
..2015a,"98,077","55,025",,"43,053","31,369","2,673","9,011",,"102,056","55,075",,"46,981","25,916","9,256","11,809",,,,,,,,
..2015b,"99,944","55,658",,"44,286","32,422","2,706","9,158",,"104,112","55,880",,"48,233","26,873","9,341","12,019",,,,,,,,
"..2014a, s","97,605","54,682",,"42,923","31,452","2,522","8,949",,"101,303","54,748",,"46,555","25,838","9,056","11,661",,,,,,,,
"..2014b, s","99,581","55,356",,"44,226","32,580","2,557","9,089",,"103,341","55,492",,"47,848","26,828","9,156","11,864",,,,,,,,
..2013a,"96,957","54,454",,"42,503","30,780","2,592","9,131",,"100,802","54,678",,"46,123","25,453","9,172","11,498",,,,,,,,
..2013b,"98,819","55,096",,"43,721","31,825","2,621","9,275",,"102,773","55,422",,"47,351","26,365","9,269","11,717",,,,,,,,
..2012a,"96,372","54,612",,"41,760","30,486","2,437","8,837",,"100,293","54,680",,"45,613","25,106","9,104","11,403",,,,,,,,
..2012b,"98,158","55,266",,"42,892","31,450","2,464","8,978",,"102,274","55,418",,"46,856","25,991","9,233","11,632",,,,,,,,
"..2011a, r","95,576","54,566",,"41,008","29,807","2,464","8,737",,"99,659","54,599",,"45,060","24,603","9,398","11,059",,,,,,,,
"..2011b, r","97,348","55,266",,"42,082","30,690","2,509","8,883",,"101,597","55,354",,"46,243","25,478","9,493","11,272",,,,,,,,
..2011a,"96,895","54,516",,"42,380","31,028","2,444","8,908",,"99,625","54,546",,"45,078","24,764","9,288","11,026",,,,,,,,
..2011b,"98,441","55,149",,"43,293","31,768","2,486","9,039",,"101,240","55,184",,"46,056","25,467","9,378","11,211",,,,,,,,
..2010a,"96,159","54,742",,"41,417","30,592","2,483","8,342",,"99,309","54,823",,"44,486","24,126","9,276","11,084",,,,,,,,
..2010b,"97,650","55,370",,"42,280","31,291","2,512","8,477",,"100,831","55,447",,"45,384","24,746","9,358","11,280",,,,,,,,
..2009a,"95,494","55,023",,"40,472","29,801","2,359","8,312",,"98,794","55,110",,"43,684","23,494","9,436","10,754",,,,,,,,
..2009b,"96,988","55,637",,"41,352","30,509","2,383","8,460",,"100,265","55,714",,"44,552","24,082","9,519","10,951",,,,,,,,
..2008a,"94,707","54,546",,"40,160","29,517","2,450","8,193",,"98,134","54,392",,"43,741","23,399","9,419","10,923",,,,,,,,
..2008b,"96,157","55,142",,"41,015","30,214","2,474","8,327",,"99,580","54,995",,"44,585","23,991","9,495","11,099",,,,,,,,
..2007a,"93,943","54,922",,"39,020","28,658","2,255","8,107",,"97,479","54,950",,"42,530","22,528","9,295","10,707",,,,,,,,
..2007b,"95,332","55,546",,"39,788","29,271","2,276","8,241",,"98,929","55,557",,"43,373","23,113","9,371","10,889",,,,,,,,
..2006a,"92,889","54,368",,"38,522","28,286","2,181","8,055",,"96,611","54,340",,"42,272","22,386","9,368","10,518",,,,,,,,
..2006b,"94,475","55,077",,"39,398","28,991","2,218","8,189",,"98,155","55,014",,"43,141","22,997","9,441","10,703",,,,,,,,
..2005a,"91,813","53,979",,"37,833","27,854","2,288","7,691",,"95,775","54,153",,"41,622","21,909","9,239","10,474",,,,,,,,
..2005b,"93,309","54,645",,"38,662","28,524","2,318","7,820",,"97,285","54,812",,"42,473","22,494","9,317","10,662",,,,,,,,
